train_end,test_start,test_end,seasonal_naive_mae,seasonal_naive_mape_pct,holt_winters_mae,holt_winters_mape_pct
2011-04-11,2011-04-18,2011-05-09,79.25,29.51,93.73,36.45
2011-05-09,2011-05-16,2011-06-06,115.25,32.17,86.73,22.96
2011-06-06,2011-06-13,2011-07-04,43.5,12.48,31.75,10.0
2011-07-04,2011-07-11,2011-08-01,44.0,13.08,16.31,5.13
2011-08-01,2011-08-08,2011-08-29,36.0,11.99,52.26,17.72
2011-08-29,2011-09-05,2011-09-26,106.5,25.04,71.6,16.25
2011-09-26,2011-10-03,2011-10-24,72.25,14.79,105.54,21.49
2011-10-24,2011-10-31,2011-11-21,137.5,21.23,199.32,31.6
